address,model,Cfun,Pvar,Rvar,input_type
0x2fa0ac498d01632f959d3c18e38f4390b005e200,description_v1111_5,0.5714285714285714,0.6666666666666666,0.6666666666666666,description_v1111
0x30c92c69d38cfacbb28081490f8cd7558d441903,description_v1111_5,,,,description_v1111
0x30cefbcb5c26a5b19a019092ab8d09f8739c904f,description_v1111_5,0.23529411764705882,0.6875,0.6875,description_v1111
0x336db6c1ead9cc4d5b0a33ac03c057e20640126a,description_v1111_2,0.6,0.5263157894736842,0.625,description_v1111
0x37304b0ab297f13f5520c523102797121182fb5b,description_v1111_1,0.8888888888888888,0.2,0.2,description_v1111
0x373c55c277b866a69dc047cad488154ab9759466,description_v1111_5,,,,description_v1111
0x39a31ccd63cd1b186392654a2d520f73cc19274f,description_v1111_5,0.9230769230769231,0.8421052631578947,0.8421052631578947,description_v1111
0x3a8a97123bccd826228e5eb4144b48cce169517b,description_v1111_5,,,,description_v1111
0x3c020e014069df790d4f4e63fd297ba4e1c8e51f,description_v1111_5,,,,description_v1111
0x3c1634291868ddffa037222991babfccd8400921,description_v1111_4,0.35294117647058826,0.9565217391304348,0.9565217391304348,description_v1111
0x3da71558a40f63b960196cc0679847ff50fad22b,description_v1111_5,,,,description_v1111
0x3e22bb2279d6bea3cfe57f3ed608fc3b1deadadf,description_v1111_5,,,,description_v1111
0x40a05d4ce308bf600cb275d7a3e9113518f59c54,description_v1111_3,,,,description_v1111
0x41849f3bd33ced4a21c73fddd4a595e22a3c2251,description_v1111_4,1.0,0.7142857142857143,0.8333333333333334,description_v1111
0x446d1696a5527018453cda3d67aa4c2cd189b9f6,description_v1111_5,,,,description_v1111
0x44e081cac2406a4efe165178c2a4d77f7a7854d4,description_v1111_5,1.0,0.0,0.0,description_v1111
0x46403e94529fc04d04c9c393beab1d050ef06409,description_v1111_5,0.6363636363636364,0.125,0.3333333333333333,description_v1111
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,description_v1111_1,0.75,0.6666666666666666,0.6153846153846154,description_v1111
0x49edf201c1e139282643d5e7c6fb0c7219ad1db7,description_v1111_5,0.16,0.47368421052631576,0.47368421052631576,description_v1111
0x4a627b324189014fa757ed7cc730b180879232d7,description_v1111_2,1.0,0.375,0.375,description_v1111
