address,language,name,is_new,sai,Bytecode_n_sai,Bytecode_sai_coverage,Elipmoc_n_sai,Elipmoc_sai_coverage,SpecDescription_n_sai,SpecDescription_sai_coverage,Bytecode_correct,SpecDescription_correct,Elipmoc_correct,SpecDescription_diff,Reasons,Elipmoc_diff,Bytecode_diff
0xcba46f2c1d9b3f3b1d2b7f9660af7d48984e4e46,Solidity,TokenSale,False,"{'CALL': 9, 'SSTORE': 6}",3.0,0.222222,5.0,0.416667,,-1.0,,0.0,0.0,finalize,Too long descriptions,,
0x8207bcaacd247a03fbd68e1a941092fa678cf492,Solidity,AciToken,False,"{'SSTORE': 15, 'CALL': 1}",1.0,0.033333,16.0,1.0,16.0,1.0,,1.0,0.0,generateTokens-(1),Safemath,fallback,
0x05b3abd9031a31a45121bda59c7bb52fc7db2590,Solidity,RefundVault,False,"{'SSTORE': 5, 'CALL': 2}",1.0,0.1,7.0,1.0,7.0,1.0,,1.0,1.0,,,,
0xcba6f10d1147b2c5a3d8d8cbd93c373b31c6c2c8,Solidity,VuePayTokenSale,False,"{'SSTORE': 37, 'CALL': 2}",1.0,0.013514,6.0,0.081081,,-1.0,,0.0,,,Too long descriptions,,
0x25066b77ae6174d372a9fe2b1d7886a2be150e9b,Solidity,PolarisDEX,False,"{'CALL': 12, 'SSTORE': 18}",1.0,0.027778,2.0,0.055556,,-1.0,,,,,,,
0xb222e54b336bf4834953eac0a5bd0c1aae2079e9,Solidity,MinerShare,False,"{'SSTORE': 6, 'CALL': 1}",5.0,0.833333,7.0,1.0,7.0,1.0,,1.0,1.0,,,,
0xc5fd320ef9b3047872dd089f6b4c026cc8c5b617,Solidity,SharpeCrowdsale,False,"{'SSTORE': 17, 'CALL': 8}",1.0,0.029412,1.0,0.029412,17.0,0.632353,,,,,,,
0x6bb545b8a2e869009487eb7e5e045178b7221e36,Solidity,SMBQToken,False,"{'CALL': 3, 'SSTORE': 14}",1.0,0.035714,0.0,0.0,9.0,0.452381,,0.0,,,(Model Errors) - Too long descriptions - emit,,
0x6cc12c718c924c63b9fa90cff0722054e408049a,Solidity,UNITdistribution,False,"{'CALL': 8, 'SELFDESTRUCT': 1, 'SSTORE': 1}",,-1.0,12.0,1.0,10.0,1.0,,1.0,1.0,,,,
0xcd19a08b139a4cc47bae0d9de41241f5056988c7,Solidity,Bitway,False,{'SSTORE': 8},1.0,0.125,8.0,1.0,10.0,1.0,,1.0,1.0,"transfer-(1),createTokens-(1),transferFrom-(1)",Safemath,"transfer-(1),createTokens-(1),transferFrom-(1)",
0xf24fdeab9e15d0386a96dcd215699ed4a9b187c2,Solidity,ALFA,False,"{'SSTORE': 53, 'CALL': 11}",,-1.0,6.0,0.056604,10.0,0.09434,,,,,,,
0xee6d409e9d08af082c2493ea955a0d3ea418dc0f,Solidity,FranklinFarmer,False,"{'SSTORE': 14, 'CALL': 6}",5.0,0.22619,5.0,0.178571,30.0,0.75,,0.0,,sellKnowledge,(Model Errors) - Too long descriptions - emit,,
0xd389c08bb987dd7daeb31f51fce1b5b73710b38e,Solidity,NeuroToken,False,"{'SSTORE': 19, 'CALL': 3}",,-1.0,18.0,0.473684,29.0,1.0,,0.0,,transferFrom,(Model Errors) - Lack conditions,,
0x37f387fe48c9569500b514a1c7e1f6b04be8d421,Solidity,QIUToken,False,"{'SSTORE': 18, 'CALL': 1}",6.0,0.166667,0.0,0.0,19.0,1.0,,1.0,,"originTransfer, ownerTransferFrom ",,,
0x49102622791a58abe990a0ac68ec3f4366c5b2b1,Solidity,Eagle,False,"{'SSTORE': 23, 'CALL': 5}",1.0,0.021739,0.0,0.0,,-1.0,,,,,,,
0x2b44d68555899dbc1ab0892e7330476183dbc932,Solidity,Ethmall,False,"{'CALL': 12, 'SSTORE': 18}",3.0,0.097222,0.0,0.0,,-1.0,,,,,,,
0x7c5249ca4de547d388c056139043e876963b1633,Solidity,RTB2,False,"{'SSTORE': 15, 'CALL': 6}",,-1.0,7.0,0.283333,42.0,1.0,,0.0,,buy,(Descriptions Errors) - Too much conditions,,
0x089431f295b58c17c0b1754be2e15d706e990151,Solidity,BetBuyer,False,"{'CALL': 7, 'SSTORE': 8}",3.0,0.196429,,-1.0,32.0,1.0,,0.0,0.0,withdraw,(Descriptions Errors) - Lack a condition,,
0x39cfd754c85023648bf003bea2dd498c5612abfa,Solidity,TokenBank,False,"{'SSTORE': 7, 'CALL': 1}",1.0,0.071429,10.0,1.0,11.0,1.0,,1.0,0.0,withdrawToHolder,(Rerun)- bad call signatures,withdrawToHolder,
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,Solidity,TokenBank,False,"{'SSTORE': 7, 'CALL': 1}",1.0,0.071429,9.0,1.0,10.0,1.0,,1.0,0.0,,,withdrawToHolder,
0x67b05fa2ababcdb3e1a1635868f58f9652bd3298,Solidity,just_try_it,False,"{'CALL': 1, 'SSTORE': 8, 'SELFDESTRUCT': 1}",1.0,0.041667,9.0,0.958333,,-1.0,,,,,,,
0xa0cc94083c43a027071f6ccaee7251fbd818b7c6,Vyper,Vyper_contract,False,"{'SSTORE': 8, 'CALL': 2}",1.0,0.0625,5.0,0.5,10.0,1.0,,1.0,0.0,,,,
0xe75fa140f7c05077e05ffa0a9db227e32c80d5da,Vyper,Vyper_contract,False,"{'SSTORE': 10, 'CALL': 2}",1.0,0.05,5.0,0.45,6.0,0.7,,,,,,,
0xa49f113d068334fa0e0a6186f6c0e4d7e4cfa85e,Vyper,Vyper_contract,False,"{'STATICCALL': 5, 'SSTORE': 8, 'CALL': 2}",,-1.0,11.0,0.732143,5.0,0.330357,,,,,,,
0x102818f9fc7a845a30e5f521a57ce22f5f9629e6,Vyper,Vyper_contract,False,"{'SSTORE': 5, 'CALL': 2, 'SELFDESTRUCT': 1}",1.0,0.066667,,-1.0,9.0,0.666667,,,,,,,
0xd4e7661bf3e273f768886f574ee3c56114dd091f,Vyper,Vyper_contract,False,{'SSTORE': 15},,-1.0,13.0,0.866667,,-1.0,,0.0,,,Type,,
0x0d8fc15b6fefc278ff642861df51b45607330871,Vyper,Vyper_contract,False,{'SSTORE': 13},,-1.0,15.0,1.0,15.0,1.0,,1.0,0.0,,,"transfer-(1),mint-1,burnFrom-1",
0xb4cb022edc0c379b6e50561658fe5b25152bd943,Vyper,Vyper_contract,False,{'SSTORE': 13},,-1.0,13.0,1.0,,-1.0,,0.0,0.0,,OpenZeppelin,mint,
0x65770b5283117639760bea3f867b69b3697a91dd,Vyper,Vyper_contract,False,"{'CALL': 5, 'STATICCALL': 2, 'SSTORE': 18}",2.0,0.142857,3.0,0.083333,,-1.0,,,,,,,
0xc1ad68c43508dd5addb8d0ac0927dbe752d149d6,Vyper,Vyper_contract,False,"{'STATICCALL': 8, 'SSTORE': 19, 'CALL': 4}",3.0,0.094298,8.0,0.210526,,-1.0,,,,,,,
0xa0a4a2af46af4cf37eacc495eedcae269ef2720e,Vyper,Vyper_contract,False,"{'SSTORE': 18, 'SELFDESTRUCT': 1, 'CALL': 3}",,-1.0,0.0,0.0,12.0,0.537037,,,,,,,
0x44d2142f6f3686c5ca7dbdd7c9d8882c630a0b86,Vyper,Vyper_contract,False,"{'SSTORE': 17, 'STATICCALL': 18, 'CALL': 15}",6.0,0.176471,7.0,0.205882,16.0,0.399287,,0.0,,,(Model Errors) - Too long descriptions - emit,,
0xc0a47dfe034b400b47bdad5fecda2621de6c4d95,Vyper,Vyper_contract,False,"{'SSTORE': 5, 'CREATE': 1, 'CALL': 1}",1.0,0.066667,2.0,0.133333,7.0,1.0,,1.0,0.0,,,createExchange,
0x2f6ff964eb04cc42192a78210c77a44b1f69af1d,Vyper,Vyper_contract,False,"{'STATICCALL': 8, 'SSTORE': 19, 'CALL': 4}",6.0,0.14693,0.0,0.0,10.0,0.263158,,,,,,,
0x4cfa9c487b533708b8ca10e0ea8adbe4af9aced3,Vyper,Vyper_contract,False,"{'SSTORE': 16, 'STATICCALL': 4}",1.0,0.03125,12.0,0.375,,-1.0,,0.0,,,"Too long descriptions, type",,
0xcd11a81b0bbd246a8943e6faf2d342ea25d63a83,Vyper,Vyper_contract,False,"{'CALL': 8, 'SSTORE': 16}",1.0,0.03125,0.0,0.0,,-1.0,,,,,,,
0x1abf3e1c4875b5bcfaa63344ae729aa30c93a74b,Vyper,Vyper_contract,False,{'SSTORE': 12},,-1.0,14.0,1.0,14.0,1.0,,1.0,0.0,,,"transfer-(1),mint-1,burnFrom-1",
0x076a7c93343579355626f1426de63f8827c9b9b2,Vyper,Vyper_contract,False,"{'SSTORE': 9, 'CALL': 1}",,-1.0,6.0,0.333333,12.0,1.0,,1.0,0.0,,,,
