input_type,address,imitation_status_output,imitation_status_states,random_status_output,random_status_states
ethervm,0x1ce865c81e76aafd2003e69acd2d196d19aac144,0.0,0.0,0.0,0.0
ethervm,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,0.0,0.0,0.0,0.0
ethervm,0x22a97c80d7e0a9ae616737e3b8b531248f4ef91d,0.0,0.0,0.0,0.0
ethervm,0x22dccfa39dbe59cd3f27e6531b33b5101bb2a70d,0.5691647408385606,0.589633542423242,0.4123473093430175,0.6325519973588644
ethervm,0x23ea10cc1e6ebdb499d24e45369a35f43627062f,0.0,0.0,0.0,0.0
ethervm,0x24f0bb6c9b2c3db66603fa0ec07ab0cf55cdd387,0.0,0.0,0.0,0.0
ethervm,0x25a06d4e1f804ce62cf11b091180a5c84980d93a,0.5820402773192472,0.525916143941895,0.41696929679762296,0.4354572466160449
ethervm,0x269a6ffb97325e8e371f067fea216c9f62848833,0.6927134849983515,0.693043191559512,0.3138806462248599,0.3438839432904715
ethervm,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0.0,0.0,0.0,0.0
ethervm,0x2956356cd2a2bf3202f771f50d3d14a367b48070,0.5966777408637873,0.621594684385382,0.6803986710963456,0.7471760797342193
ethervm,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0.8376859504132231,0.6614876033057852,0.7345454545454545,0.7477685950413223
ethervm,0x2b78a837c37549539c62ab54a235a8e19fea812f,0.0,0.0,0.0,0.0
ethervm,0x2cbc6812cff0b1113bf2808ffce6d83b97afd345,0.0,0.0,0.0,0.0
ethervm,0x2fa0ac498d01632f959d3c18e38f4390b005e200,0.0,0.0,0.0,0.0
ethervm,0x30cefbcb5c26a5b19a019092ab8d09f8739c904f,0.7764281024294156,0.6365725541694025,0.4530531845042679,0.44714379514116875
ethervm,0x336db6c1ead9cc4d5b0a33ac03c057e20640126a,0.0,0.0,0.0,0.0
ethervm,0x37304b0ab297f13f5520c523102797121182fb5b,0.5278514588859416,0.39854111405835546,0.3693633952254642,0.3139920424403183
ethervm,0x3a8a97123bccd826228e5eb4144b48cce169517b,0.0,0.0,0.0,0.0
ethervm,0x3c020e014069df790d4f4e63fd297ba4e1c8e51f,0.7871777924653007,0.7650363516192994,0.6050892267019167,0.6801057501652347
ethervm,0x3c1634291868ddffa037222991babfccd8400921,0.0,0.0,0.0,0.0
ethervm,0x3da71558a40f63b960196cc0679847ff50fad22b,0.0,0.0,0.0,0.0
ethervm,0x40a05d4ce308bf600cb275d7a3e9113518f59c54,0.7536231884057971,0.6859903381642513,0.4856007944389275,0.4839457133399537
ethervm,0x41849f3bd33ced4a21c73fddd4a595e22a3c2251,0.0,0.0,0.0,0.0
ethervm,0x44e081cac2406a4efe165178c2a4d77f7a7854d4,0.6630146082337317,0.4070385126162019,0.5783532536520585,0.4946879150066401
ethervm,0x49edf201c1e139282643d5e7c6fb0c7219ad1db7,0.9526938239159002,0.9480946123521682,0.6770696452036794,0.6593298291721419
ethervm,0x4a627b324189014fa757ed7cc730b180879232d7,0.7116848725587553,0.5746441575637207,0.7471036080767958,0.6984442237669646
ethervm,0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,0.0,0.0,0.0,0.0
ethervm,0x50cb61afa3f023d17276dcfb35abf85c710d1cff,0.0,0.0,0.0,0.0
ethervm,0x53b04999c1ff2d77fcdde98935bb936a67209e4c,0.7454364420843014,0.5008297378028543,0.622967142383007,0.7616993030202456
ethervm,0x5535a72556727c221c567e0fc4208c5a99dba1cc,0.8820598006644518,0.8830564784053156,0.7730897009966777,0.7850498338870432
ethervm,0x575cb87ab3c2329a0248c7d70e0ead8e57f3e3f7,0.8263453284912512,0.8676130736216573,0.476724991746451,0.8659623638164411
ethervm,0x5da60592329d7651ff3415ef7f3d3ed91d1c2f24,0.8454878454878455,0.8454878454878455,0.5601065601065601,0.5601065601065601
ethervm,0x5eee354e36ac51e9d3f7283005cab0c55f423b23,0.8240771533089458,0.7685400731626205,0.8536747588959095,0.8224143664782175
ethervm,0x60cd862c9c687a9de49aecdc3a99b74a4fc54ab6,0.0,0.0,0.0,0.0
ethervm,0x62a940646e8f9fceac28454414bb6133a54055ea,0.0,0.0,0.0,0.0
ethervm,0x63658cc84a5b2b969b8df9bea129a1c933e1439f,0.7380244466468451,0.7228278823918071,0.4568880079286422,0.4506111661711265
ethervm,0x64af032181669383a370ae6e4b438ee26bb559b7,0.45711436170212766,0.5282579787234043,0.37898936170212766,0.5279255319148937
