input_type,address,mean_sim,time
elipmoc,0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,0.8360939621925354,2
elipmoc,0x1ce865c81e76aafd2003e69acd2d196d19aac144,0.8663115501403809,3
elipmoc,0x1e143b2588705dfea63a17f2032ca123df995ce0,0.6898159384727478,1
elipmoc,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,0.9205669164657592,4
elipmoc,0x22a97c80d7e0a9ae616737e3b8b531248f4ef91d,0.8897148966789246,4
elipmoc,0x22dccfa39dbe59cd3f27e6531b33b5101bb2a70d,0.91600900888443,3
elipmoc,0x23ea10cc1e6ebdb499d24e45369a35f43627062f,0.7599610686302185,3
elipmoc,0x24f0bb6c9b2c3db66603fa0ec07ab0cf55cdd387,,3
elipmoc,0x25a06d4e1f804ce62cf11b091180a5c84980d93a,0.801472008228302,2
elipmoc,0x269a6ffb97325e8e371f067fea216c9f62848833,,3
elipmoc,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0.9378780126571656,3
elipmoc,0x29488e24cfdaa52a0b837217926c0c0853db7962,,3
elipmoc,0x2956356cd2a2bf3202f771f50d3d14a367b48070,0.9325862526893616,4
elipmoc,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0.9460667371749878,3
elipmoc,0x2af47a65da8cd66729b4209c22017d6a5c2d2400,0.4165978133678436,3
elipmoc,0x2b78a837c37549539c62ab54a235a8e19fea812f,0.7647860646247864,4
elipmoc,0x2cbc6812cff0b1113bf2808ffce6d83b97afd345,0.9095609784126282,3
elipmoc,0x2fa0ac498d01632f959d3c18e38f4390b005e200,,3
elipmoc,0x30c92c69d38cfacbb28081490f8cd7558d441903,0.7799749374389648,5
elipmoc,0x30cefbcb5c26a5b19a019092ab8d09f8739c904f,,3
elipmoc,0x336db6c1ead9cc4d5b0a33ac03c057e20640126a,0.6821867823600769,2
elipmoc,0x37304b0ab297f13f5520c523102797121182fb5b,,3
elipmoc,0x373c55c277b866a69dc047cad488154ab9759466,,3
elipmoc,0x39a31ccd63cd1b186392654a2d520f73cc19274f,0.8445146083831787,2
elipmoc,0x3a8a97123bccd826228e5eb4144b48cce169517b,0.8996456861495972,4
elipmoc,0x3c020e014069df790d4f4e63fd297ba4e1c8e51f,0.8251190185546875,2
elipmoc,0x3c1634291868ddffa037222991babfccd8400921,0.9365195631980896,4
elipmoc,0x3da71558a40f63b960196cc0679847ff50fad22b,0.7980265021324158,3
elipmoc,0x3e22bb2279d6bea3cfe57f3ed608fc3b1deadadf,0.7584542632102966,3
